ms:float,v:float
1661445.2500343323,78.36371
1662164.0298366547,83.47441
1662882.819890976,83.47439
1663554.7199249268,89.29817
1667929.929971695,79.99628
1668742.460012436,73.84275
1669586.2498283386,71.10782
1670336.28988266,79.99628
1671133.199930191,75.29063
1671992.6199913025,69.81495
1672742.6500320435,79.99632
1673539.559841156,75.29063
1674180.2198886871,93.65418
1678196.0299015045,81.69833
1678977.3099422455,76.79646
1679883.610010147,66.20381
1680649.2698192596,78.36374
1681446.1798667908,75.29063
1682321.219921112,68.56825
1683290.0099754333,61.93262
1684305.6900501251,59.07418
1687915.2300357819,78.36371
1688665.2598381042,79.99632
1689399.6698856354,81.69833
1690102.8299331665,85.32937
1690868.4899806976,78.36374
1691806.030035019,63.99704
1692571.6898441315,78.36371
1693399.859905243,72.44947
1694259.269952774,69.81495
1695181.1900138855,65.08173
1695993.7298297882,73.84273
1703697.2098350525,73.84273
1704634.7498893738,63.99704
1705697.2999572754,56.46796
1706525.4600048065,72.44947
1707431.7598342896,66.20383
1708369.2998886108,63.99704
1709228.709936142,69.81495
1709978.7499904633,79.99632
1710791.2900447845,73.84273
1711681.949853897,67.3653
1712478.8599014282,75.29063
1713260.1499557495,76.79644
1714119.570016861,69.81495
1715041.4798259735,65.08173
1715822.7698802948,76.79644
1716666.559934616,71.10782
1717619.7299957275,62.94791
1718385.3900432587,78.36374
1719213.5498523712,72.44947
1720088.5899066925,68.56825
1720822.9999542236,81.69833
1721588.6600017548,78.36371
1722416.8298244476,72.44947
1723307.4898719788,67.3653
1724073.14991951,78.36374
1724979.4399738312,66.20383
1726073.2400417328,54.8546
1726932.6598644257,69.81495
1727745.199918747,73.84273
1728573.359966278,72.44949
1729448.4000205994,68.56825
1730182.809829712,81.69833
1730948.469877243,78.36371
1731761.0099315643,73.84273
1741652.0898342133,78.36371
1742339.6198749542,87.26867
1743074.0299224854,81.69836
1743855.3199768066,76.79644
1744714.7300243378,69.81495
1745449.1398334503,81.69833
1746167.9298877716,83.47441
1746902.3299217224,81.69833
1747777.3699760437,68.56825
1753043.2398319244,75.29063
1753871.409893036,72.44947
1754730.819940567,69.81495
1761293.6298847198,78.36374
1761996.7799186707,85.32937
1762684.319972992,87.26867
1763449.980020523,78.36374
1767622.0400333405,72.44947
1768309.5798492432,87.2687
1769137.7398967743,72.44947
1770075.2799510956,63.99704
1770934.700012207,69.81495
1771794.1098213196,69.81495
1772669.1498756409,68.56825
1773591.0699367523,65.08173
1774325.4799842834,81.69833
1775106.7700386047,76.79644
1775856.7998409271,79.99632
1776606.829881668,79.99628
1777341.2399291992,81.69833
1778075.6499767303,81.69836
1778903.8200378418,72.44947
1785466.6199684143,76.79644
1786185.4000091553,83.47439
1786919.8098182678,81.69836
1787716.719865799,75.29063
1788716.7699337006,59.99723
1789498.0599880219,76.79644
1790451.2300491333,62.94791
1795638.9698982239,72.44947
1796482.7599525452,71.10782
1797217.159986496,81.69833
1797998.4500408173,76.79646
1798810.98985672,73.84273
1799592.269897461,76.79644
1800342.3099517822,79.99628
1801186.1000061035,71.10782
1802123.6398220062,63.99704
1802858.0498695374,81.69836
1803748.7199306488,67.3653
1804842.5199985504,54.8546
1805780.0598144531,63.99704
1806530.0998687744,79.99628
1807311.3799095154,76.79646
1808123.9199638367,73.84273
1808998.960018158,68.56825
1809842.7498340607,71.10782
1810592.7798748016,79.99628
1815452.3799419403,81.69833
1816202.4199962616,79.99632
1820843.26004982,67.3653
1821733.9198589325,67.3653
1822452.7099132538,83.47439
1823265.249967575,73.84275
1824077.780008316,73.84273
1824921.5698242188,71.10782
1825640.35987854,83.47439
1826406.0199260712,78.36374
1827218.5499668121,73.84273
1827999.8400211334,76.79644
1828718.6198234558,83.47439
1829546.7898845673,72.44947
1830437.4499320984,67.3653
1831218.7399864197,76.79646
1831968.7700271606,79.99628
1832734.4298362732,78.36371
1833546.9698905945,73.84273
1834281.3799381256,81.69836
1835015.7899856567,81.69833
1835703.3200263977,87.2687
1839984.769821167,73.84273
1840781.6798686981,75.29063
1841750.4799365997,61.93262
1842813.0300045013,56.46796
1843594.3100452423,76.79646
1844391.2198543549,75.29063
1845110.0099086761,83.47439
1845922.5499629974,73.84273
1846656.9499969482,81.69836
1847453.869819641,75.29063
1848250.7798671722,75.29063
1848953.9399147034,85.3294
1849750.8499622345,75.29063
1850688.3900165558,63.99704
1851407.1698188782,83.47439
1852282.2098731995,68.56825
1853157.259941101,68.56825
1853907.289981842,79.99628
1854579.2000293732,89.2982
1858845.0198173523,69.81495
1859563.7998580933,83.47441
1860438.8399124146,68.56825
1861329.509973526,67.3653
1862032.6700210571,85.32937
1862782.6998233795,79.99628
1863548.3598709106,78.36374
1864314.0199184418,78.36371
1865017.179965973,85.32937
1865751.590013504,81.69836
1866689.1298294067,63.99704
1867517.2998905182,72.44947
1868314.2099380493,75.29063
1869189.2499923706,68.56825
1870126.790046692,63.99704
1870845.5698490143,83.47439
1871611.2298965454,78.36371
1872361.2699508667,79.99632
1873126.9299983978,78.36371
1873814.4600391388,87.26867
1874501.9898414612,87.2687
1875236.3998889923,81.69833
1876064.5699501038,72.44947
1876861.479997635,75.29065
1877549.0100383759,87.26867
1878158.409833908,98.45699
1882549.239873886,69.81495
1887830.7399749756,91.42435
1894174.7798919678,75.29063
1895034.189939499,69.81495
1895893.6100006104,69.81496
1896659.2700481415,78.36371
1897518.679857254,69.81495
1898409.3499183655,67.3653
1899159.3899726868,79.99628
1899878.1700134277,83.47441
1900612.5798225403,81.69833
1901440.7398700714,72.44947
1902175.1499176025,81.69833
1902972.0599651337,75.29065
1903893.9800262451,65.08172
1904831.5198421478,63.99704
1905565.929889679,81.69836
1906284.7199440002,83.47439
1907269.1400051117,60.94956
1907987.9200458527,83.47439
1908769.2098617554,76.79644
1909597.3699092865,72.44949
1910534.9099636078,63.99702
1911347.450017929,73.84275
1912081.8598270416,81.69833
1917097.7199077606,71.10782
1917925.8799552917,72.44947
1918785.2900028229,69.81495
1919488.450050354,85.32937
1920300.9898662567,73.84273
1921160.3999137878,69.81495
1921894.809961319,81.69836
1922707.3500156403,73.84273
1923519.889831543,73.84273
1924363.6798858643,71.10782
1925098.0899333954,81.69836
1925894.9999809265,75.29063
1926816.920042038,65.08173
1927566.9498443604,79.99628
1928332.6098918915,78.36371
1929113.8999462128,76.79646
1930035.8200073242,65.08172
1930754.6000480652,83.47441
1931535.889863968,76.79644
1932348.4199047089,73.84273
1933129.7099590302,76.79644
1933832.8700065613,85.3294
1934614.1500473022,76.79644
1935395.439863205,76.79644
1936239.2299175262,71.10782
1936973.6399650574,81.69836
1937786.1700057983,73.84273
1938661.2198352814,68.56825
1939489.3798828125,72.44947
1940192.5399303436,85.32937
1940942.5699710846,79.99632
1941723.860025406,76.79644
1942505.1398277283,76.79644
1943223.9298820496,83.47441
1943989.5899295807,78.36371
1944786.4999771118,75.29063
1945505.2800178528,83.47439
1946192.8098201752,87.2687
1946895.9698677063,85.32937
1947630.3799152374,81.69836
1948396.0399627686,78.36371
1949099.2000102997,85.32937
1949786.7300510406,87.2687
1950552.3898601532,78.36371
1954802.589893341,79.99628
1955615.1299476624,73.84275
1956287.0299816132,89.29817
1956990.1900291443,85.3294
1957693.3498382568,85.32937
1958459.009885788,78.36371
1959177.789926529,83.47441
1959865.31996727,87.26867
1960568.480014801,85.32937
1961412.2698307037,71.10783
1962396.6898918152,60.94955
1963193.5999393463,75.29065
1964021.7599868774,72.44947
1964912.430047989,67.3653
1965803.0998706818,67.3653
1966553.1299114227,79.99628
1967318.7899589539,78.36371
1968084.450006485,78.36371
1968834.4898223877,79.99632
1969506.3898563385,89.29817
1970225.1799106598,83.47441
1970943.9599514008,83.47439
1971740.869998932,75.29063
1972553.4098148346,73.84273
1973272.1898555756,83.47441
1973959.7198963165,87.26867
1974662.8799438477,85.3294
1975491.050004959,72.44947
1976381.7098140717,67.3653
1977116.1198616028,81.69833
1977741.1499023438,95.99557
1984694.599866867,83.47439
1985522.7599143982,72.44947
1986210.2899551392,87.2687
1986960.3300094604,79.99628
1987819.739818573,69.81495
1988663.5298728943,71.10782
1989382.3099136353,83.47439
1990132.3499679565,79.99632
1990898.0100154877,78.36371
1991757.4198246002,69.81495
1992491.8298721313,81.69833
1993382.4999332428,67.3653
1994382.5500011444,59.99723
1995179.4600486755,75.29063
1996023.2498645782,71.10782
1996851.4099121094,72.44947
1997617.0699596405,78.36374
1998304.6000003815,87.26867
1998960.8800411224,91.42435
1999789.0498638153,72.44947
2000757.8399181366,61.93262
2001617.259979248,69.81495
2002367.290019989,79.99628
2003148.5798358917,76.79644
2003992.369890213,71.10782
2004883.0299377441,67.3653
2005586.1899852753,85.3294
2006304.9700260162,83.47439
2007023.759841919,83.47441
2007836.28988266,73.84273
2008664.4599437714,72.44947
2009367.6099777222,85.32937
2010164.5300388336,75.29063
2010914.559841156,79.99632
2011883.3599090576,61.93262
2012649.0199565887,78.36371
2013367.7999973297,83.47439
